ID,Build Version,Expected Result,Actual Result,Test Status,Browser Name
02-58,2,99999999990.00000001,9999999999,FAIL,Google Chrome
02-58,2,99999999990.00000001,9999999999,FAIL,Firefox
02-58,2,99999999990.00000001,9999999999,FAIL,Microsoft Edge
02-59,2,0.11,1.1,FAIL,Google Chrome
02-59,2,0.11,1.1,FAIL,Firefox
02-59,2,0.11,1.1,FAIL,Microsoft Edge
02-60,2,.1.2.0,NONE,FAIL,Google Chrome
02-60,2,.1.2.0,NONE,FAIL,Firefox
02-60,2,.1.2.0,NONE,FAIL,Microsoft Edge
03-01,3,2,2,PASS,Google Chrome
03-01,3,2,2,PASS,Firefox
03-01,3,2,2,PASS,Microsoft Edge
03-02,3,0.3,0.30000000000000004,FAIL,Google Chrome
03-02,3,0.3,0.30000000000000004,FAIL,Firefox
03-02,3,0.3,0.30000000000000004,FAIL,Microsoft Edge
03-03,3,NONE,NONE,PASS,Google Chrome
03-03,3,NONE,NONE,PASS,Firefox
03-03,3,NONE,NONE,PASS,Microsoft Edge
03-04,3,NONE,NONE,PASS,Google Chrome
03-04,3,NONE,NONE,PASS,Firefox
03-04,3,NONE,NONE,PASS,Microsoft Edge
03-05,3,10,10,PASS,Google Chrome
03-05,3,10,10,PASS,Firefox
03-05,3,10,10,PASS,Microsoft Edge
03-06,3,10.1,10.1,PASS,Google Chrome
03-06,3,10.1,10.1,PASS,Firefox
03-06,3,10.1,10.1,PASS,Microsoft Edge
03-07,3,0,0,PASS,Google Chrome
03-07,3,0,0,PASS,Firefox
03-07,3,0,0,PASS,Microsoft Edge
03-08,3,1999999998,1999999998,PASS,Google Chrome
03-08,3,1999999998,1999999998,PASS,Firefox
03-08,3,1999999998,1999999998,PASS,Microsoft Edge
03-09,3,9999999999,9999999999,PASS,Google Chrome
03-09,3,9999999999,9999999999,PASS,Firefox
03-09,3,9999999999,9999999999,PASS,Microsoft Edge
03-10,3,9999999999.1,9999999999.1,PASS,Google Chrome
03-10,3,9999999999.1,9999999999.1,PASS,Firefox
03-10,3,9999999999.1,9999999999.1,PASS,Microsoft Edge
03-11,3,0.22222222,0.22222222,PASS,Google Chrome
03-11,3,0.22222222,0.22222222,PASS,Firefox
03-11,3,0.22222222,0.22222222,PASS,Microsoft Edge
03-12,3,-1999999998,-1999999998,PASS,Google Chrome
